regional stations: orinoquia,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
NEV DEL COCUY AUTOMATICA ,4676,-72.314166666667,6.509111111111,0,0,0,0,3.23,3.76,3.124,1.44
UNIV DEL VALLE  ,996,-76.533888888889,3.378,0,0,0,0,6.736,0,2.643,1.34
HDA COTOVE AUTOM  ,534,-75.827333333333,6.533916666667,0,0,0,0,3.274,2.698,3.405,1.34
AQUITANIA AUTOMATICA ,3021,-72.88175,5.556638888889,0,0,0,0,4.11,4.582,0.435,1.3
STA EMILIA AUTOM  ,1748,-75.902944444444,5.207472222222,0,0,0,0,3.924,1.838,3.305,1.3
ALCALDIA DE HERRAN AUTOMATICA ,204,-72.485361111111,7.506722222222,2.777,0,0,0,3.176,0,2.701,1.24
PAQUILO AUTOMATICA ,2957,-74.398055555556,3.993611111111,0,0,0,0,0,4.406,4.212,1.23
EL VINCULO AUTOM  ,98,-76.300005555556,3.834805555556,0,0,0,0,2.898,3.305,2.188,1.2
EL TABLAZO AUTOM  ,1837,-76.581293611111,2.474833055556,0,0,0,0,4.384,0,3.89,1.18
HDA PAJONALES   ,277,-74.83425,4.760722222222,0,0,0,0,4.033,0,4.075,1.16
PASCA AUTOMATICA ,2256,-74.31175,4.310111111111,0,0,0,0,2.703,3.086,2.264,1.15
LA DIANA AUTOM  ,1615,-76.185694444444,3.314055555556,0,0,0,0,4.531,0,3.398,1.13
MOGOTES AUTOMATICA ,1673,-72.968888888889,6.47,0,0,0,0,3.073,1.983,2.87,1.13
PMO BELMIRA AUTOM  ,3221,-75.644444444444,6.632027777778,0,0,0,0,0,4.086,3.83,1.13
NEV DEL TOLIMA AUTOMATICA ,4635,-75.327777777778,4.670777777778,0,0,0,0,2.02,3.294,2.548,1.12
EL PARAISO AUTOM  ,312,-77.636888888889,1.070611111111,0,0,0,0,3.296,3.902,0.436,1.09
CERRO PARAMO PUERRES AUTOMATICA ,3585,-77.388805555556,0.843111111111,0,0,0,0,3.289,3.905,0.422,1.09
PNN QUIMBAYA AUTOM  ,1881,-75.744916666667,4.761916666667,0,0,0,0,2.561,3.277,1.762,1.09
PAJARITO AUTOM   ,1952,-75.612791666667,6.286333333333,0,0,0,0,4.047,0,3.486,1.08
BASE AEREA MFS  ,975,-76.499722222222,3.4545,0,0,0,0,3.651,0,3.773,1.06
SAN  VICENTE DE CHUCURI AUTOMATICA ,1073,-73.472055555556,6.823388888889,0,0,0,0,2.598,2.574,2.242,1.06
SOCHA AUTOMATICA ,2503,-72.997027777778,5.985416666667,0,0,0,0,3.487,0,3.879,1.05
VILLETA AUTOM ,878,-74.470972222222,5.016861111111,0,0,0,0,3.778,0,3.543,1.05
LAS BRISAS AUTOM  ,1971,-76.144277777778,4.775583333333,0,0,0,0,3.664,0,3.578,1.03
LA BOYERA AUTOMATICA ,261,-73.85175,5.303805555556,0,0,0,0,3.541,0,3.654,1.03
VILLAMARIA AUTOM   ,1906,-75.513888888889,5.048666666667,0,0,0,0,3.476,0,3.625,1.01
PMO ALMORZADERO AUTOMATICA ,36,-72.696333333333,6.945388888889,0,0,0,0,0,4.253,2.843,1.01
LA PRIMAVERA AUTOMATICA ,1919,-76.114333333333,2.021583333333,2.094,0,0,0,2.898,0,2.095,1.01
STA BARBARA AUTOM  ,168,-75.556277777778,5.859583333333,0,0,0,0,3.43,0,3.639,1.01
MURILLO AUTOM   ,3023,-75.173277777778,4.870555555556,0,0,0,0,3.307,0,3.752,1.01
MACEO AUTOMATICA ,980,-74.794722222222,6.571638888889,0,0,0,0,4.329,0,2.591,0.99
PMO GUERRERO AUTOMATICA ,3257,-74.022166666667,5.086444444444,0,0,0,0,0,4.13,2.671,0.97
EL ESPINO AUTOMATICA ,351,-72.452666666667,6.506722222222,0,0,0,0,0,3.589,3.194,0.97
BASE PALANQUERO   ,170,-74.658,5.492861111111,0,0,0,0,3.407,0,3.24,0.95
LA SELVA AUTOM  ,2125,-75.414555555556,6.131916666667,0,0,0,0,2.065,2.1,2.425,0.94
CAJAMARCA AUTOM   ,253,-75.500361111111,4.435666666667,0,0,0,0,3.01,0,3.54,0.94
CERROS NOROCCIDENT   ,1946,-75.243861111111,4.470361111111,0,0,0,0,3.456,0,3.072,0.93
