LETICIA,amazonia,144.094543457031,-69.9470748911655,-3.9867
,NEOMUNDO AUTOMATICA ,970,-73.107305555556,7.102611111111,2.157,2.206,0,2.212,4.417,2.216,4.312,2.5
QUIBDÓ,pacifico,30.4248123168945,-76.6550674371715,5.69765721835433
,local stations:,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
,PIE DE PATO AUTOM ,40,-76.973166666667,5.521083333333,0,0,0,0,1.735,1.295,0.316,0.48
TUNJA,andes,2855.81591796875,-73.3705444265837,5.53439151336481
,local stations:,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
YOPAL,andes,357.770446777344,-72.4030380177448,5.34929143474913
,local stations:,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
,APTO YOPAL AUTOMATICA ,325,-72.3875,5.320444444444,0,0,0,0,3.557,0,0.059,0.52
,APTO YOPAL ,325,-72.3875,5.320444444444,0.012,0.088,0.079,0,0,0.088,0.015,0.04
MANIZALES,andes,2131.7607421875,-75.4956207208922,5.06215297270668
,local stations:,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
,EMAS AUTOM   ,2211,-75.507138888889,5.08525,0,0,0,0,8.051,0,4.164,1.75
PEREIRA,andes,1403.41442871094,-75.6927413874063,4.80875073958159
,local stations:,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
,APTO MATECAÑA AUTOM ,1342,-75.739519444444,4.812675,1.718,8.927,8.06,1.02,0.743,8.79,3.011,4.61
,ARMENIA AUTOM   ,1485,-75.690694444444,4.531583333333,0,0,0,0,6.66,0,4.233,1.56
SANTA FE DE BOGOTÁ,andes,2553.91723632813,-74.0962676933192,4.64730178409559
,local stations:,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
,ELDORADO DIDACTICA ,2546,-74.15,4.7,1.435,10.948,10.826,0.142,0,10.96,1.822,5.16
,IDEAM BOGOTA AUTOMATICA ,2646,-74.066666666667,4.6,3.025,2.989,0,3.154,5.729,3.033,5.99,3.42
,UNIV NACIONAL AUTOMATICA ,2556,-74.089083333333,4.638083333333,1.867,2.182,0,2.182,6.024,2.139,3.886,2.61
,TIBAITATA AUTOMATICA ,2543,-74.209,4.691416666667,0,0,0,0,3.762,4.489,2.456,1.53
,APTO EL DORADO AUTOMATICA ,2547,-74.150666666667,4.705583333333,1.334,1.334,0,1.334,2.68,1.334,2.68,1.53
IBAGUÉ,andes,1081.14697265625,-75.1916503839093,4.43642770342414
,local stations:,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
ARMENIA,andes,1390.22521972656,-75.6995544367078,4.52924357940428
,local stations:,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
,APTO MATECAÑA AUTOM ,1342,-75.739519444444,4.812675,1.718,8.927,8.06,1.02,0.743,8.79,3.011,4.61
,ARMENIA AUTOM   ,1485,-75.690694444444,4.531583333333,0,0,0,0,6.66,0,4.233,1.56
