DV,HR,NUB,PRE,RDIR,T,VV,AVG
PAQUILO AUTOMATICA [21195170],0,0,0,0,0,4.406,4.212,1.23
LA GRAN VIA AUTOMATICA [29065130],0,0,0,0,2.484,2.991,3.083,1.22
EL VINCULO AUTOM  [26095320],0,0,0,0,2.898,3.305,2.188,1.20
PUERTA ROJA AUTOMATICA [25025350],0,0,0,0,5.572,0,2.782,1.19
EL TABLAZO AUTOM  [26015010],0,0,0,0,4.384,0,3.89,1.18
APTO ALM. PADILLA - AUTOM [15065180],2.037,0.961,0,0.929,1.215,0.959,2.027,1.16
HDA PAJONALES   [21255160],0,0,0,0,4.033,0,4.075,1.16
PASCA AUTOMATICA [21195190],0,0,0,0,2.703,3.086,2.264,1.15
LA DIANA AUTOM  [26075120],0,0,0,0,4.531,0,3.398,1.13
MOGOTES AUTOMATICA [24025090],0,0,0,0,3.073,1.983,2.87,1.13
CHIGORODO AUTOM   [12015110],2.09,0,0,0,1.815,1.979,2.035,1.13
PMO BELMIRA AUTOM  [27015280],0,0,0,0,0,4.086,3.83,1.13
NEV DEL TOLIMA AUTOMATICA [21215150],0,0,0,0,2.02,3.294,2.548,1.12
EL PARAISO AUTOM  [52055220],0,0,0,0,3.296,3.902,0.436,1.09
CERRO PARAMO PUERRES AUTOMATICA [52055150],0,0,0,0,3.289,3.905,0.422,1.09
PNN QUIMBAYA AUTOM  [26135300],0,0,0,0,2.561,3.277,1.762,1.09
LA PALOMERA AUTOMATICA [35185010],0,0,0,0,3.369,3.832,0.394,1.09
PAJARITO AUTOM   [27015290],0,0,0,0,4.047,0,3.486,1.08
BASE AEREA MFS  [26085170],0,0,0,0,3.651,0,3.773,1.06
SAN  VICENTE DE CHUCURI AUTOMATICA [24055070],0,0,0,0,2.598,2.574,2.242,1.06
En Barranquilla [29045180],1.39,1.373,0,1.501,1.677,1.472,0,1.06
SOCHA AUTOMATICA [24035360],0,0,0,0,3.487,0,3.879,1.05
VILLETA AUTOM [23065180],0,0,0,0,3.778,0,3.543,1.05
LAS BRISAS AUTOM  [26115090],0,0,0,0,3.664,0,3.578,1.03
LA BOYERA AUTOMATICA [24015110],0,0,0,0,3.541,0,3.654,1.03
VILLAMARIA AUTOM   [26155220],0,0,0,0,3.476,0,3.625,1.01
PMO ALMORZADERO AUTOMATICA [24035390],0,0,0,0,0,4.253,2.843,1.01
LA PRIMAVERA AUTOMATICA [21015040],2.094,0,0,0,2.898,0,2.095,1.01
STA BARBARA AUTOM  [26185050],0,0,0,0,3.43,0,3.639,1.01
MURILLO AUTOM   [21255170],0,0,0,0,3.307,0,3.752,1.01
MACEO AUTOMATICA [23105070],0,0,0,0,4.329,0,2.591,0.99
PMO GUERRERO AUTOMATICA [21206930],0,0,0,0,0,4.13,2.671,0.97
EL ESPINO AUTOMATICA [24035370],0,0,0,0,0,3.589,3.194,0.97
BASE PALANQUERO   [23035030],0,0,0,0,3.407,0,3.24,0.95
LA SELVA AUTOM  [23085260],0,0,0,0,2.065,2.1,2.425,0.94
CAJAMARCA AUTOM   [21215190],0,0,0,0,3.01,0,3.54,0.94
CERROS NOROCCIDENT   [21215160],0,0,0,0,3.456,0,3.072,0.93
CALARCA AUTOM   [26125300],0,0,0,0,3.728,0,2.753,0.93
QDA NEGRA AUTOMATICA [23065190],0,0,0,0,3.582,0,2.895,0.93
PNN NEVADOS AUTOM  [26155240],0,0,0,0,0,3.158,3.299,0.92
HDA MANILA AUTOMATICA [21115180],0,0,0,0,2.351,2.323,1.649,0.90
LA PLATA AUTOMATICA [21115170],0,0,0,0,3.128,0,3.13,0.89
GORGONA GUAPI   [57025020],0,0,0,0,2.96,3.031,0.265,0.89
LORICA  ITA AUTOMATICA [13085050],1.449,0,0,0,1.643,1.695,1.451,0.89
PMO GUACHENEQUE AUTOMATICA [21206950],0,0,0,0,0,4.088,2.091,0.88
PNN CHINGAZA AUTOM  [35025080],0,0,0,0,0,3.198,2.971,0.88
VEGACHI AUTOM   [23105060],0,0,0,0,2.591,2.128,1.434,0.88
SOGAMOSO AUTOMATICA [24035410],0,0,0,0,2.978,0,3.172,0.88
HDA STA ANA AUTOM [21206790],0,0,0,0,3.632,0,2.487,0.87
APTO SESQUICENTEN   [17015010],1.194,1.265,0,1.196,0,1.265,1.194,0.87
NATAIMA AUTOM   [21185090],0,0,0,0,3.152,0,2.956,0.87
UNGUIA AUTOM   [11135030],1.261,0,0,0,1.859,1.908,1.01,0.86
STA CRUZ DE SIECHA AUTOMATICA [21206980],0,0,0,0,3.054,0,2.973,0.86
AGUAS DE LA VIRGEN AUTOMATICA [16055120],1.599,0,0,0,1.204,1.366,1.598,0.82
STA ISABEL VALDIVIA  [26255030],0,0,0,0,3.766,0,2.001,0.82
EL PEPINO AUTOMATICA [44015070],0,0,0,0,5.319,0,0.429,0.82
SAN MARCOS AUTOMATICA [25025340],0,0,0,0,2.975,1.53,1.228,0.82
EL TESORO IDEAM AUTOMATICA [25025280],0,0,0,0,1.522,2.188,1.669,0.77
ENEA LA [26157070],0.207,1.453,1.612,0,0,1.638,0.279,0.74
PMO DE YERBABUENA  [22075050],0,0,0,0,0,2.373,2.63,0.71
LA LOMA CARBONES DEL CESAR AUTOMATICA [28025130],0,0,0,0,2.144,0,2.812,0.71
SALINAS DE UPIN AUTOMATICA [35035110],0,0,0,0,4.305,0,0.423,0.68
PTO INIRIDA AUTOMATICA [31095030],0,0,0,0,2.544,0,1.999,0.65
MACAGUAL AUTOMATICA [44035050],0,0,0,0,4.14,0,0.369,0.64
STA MARIA AUTOM [35085070],0,0,0,0,4.121,0,0.375,0.64
BATALLON NO. 6 AUTOMATICA [29065120],0,0,0,0,3.65,0,0.78,0.63
INZA AUTOMATICA [21055070],0,0,0,0,2.951,0,1.428,0.63
UNIV DE PAMPLONA AUTOMATICA [16015120],1.588,0,0,0,1.188,0,1.595,0.62
HDA SUECIA AUTOMATICA [26035100],0,0,0,0,1.454,1.463,1.453,0.62
SAN CAYETANO AUTOM  [23125170],0,0,0,0,2.674,0,1.683,0.62
CIUDAD BOLIVAR AUTOMATICA [21206940],0,0,0,0,2.674,0,1.657,0.62
SAN PABLO DE BORBUR AUTOM [23125160],0,0,0,0,2.175,0,2.109,0.61
LA CAPILLA AUTOM [35085080],0,0,0,0,3.733,0,0.407,0.59
MARENGO  AUTOMATICA [21015060],0,0,0,0,1.811,0,2.304,0.59
DESIERTO LA TATACOA AUTOMATICA [21115010],0,0,0,0,1.387,1.387,1.325,0.59
UNIV DE NARIÑO  [52045080],0,0,0,0,3.636,0,0.432,0.58
PMO RABANAL AUTOMATICA  [35075080],0,0,0,0,0,3.63,0.433,0.58
NEV SANTA ISABEL AUTOMATICA [26135320],0,0,0,0,2.851,0,1.185,0.58
EL DIVISO AUTOMATICA [53075020],0,0,0,0,1.643,1.946,0.431,0.57
EL DIAMANTE AUTOMATICA [36015020],0,0,0,0,2.108,1.614,0.239,0.57
BIOTOPO AUTOMATICA [51025060],0,0,0,0,1.401,2.049,0.333,0.54
VILLANUEVA VILLAHERMOSA   [27015300],0,0,0,0,1.987,0,1.789,0.54
ZETAQUIRA AUTOMATICA [35085060],0,0,0,0,3.315,0,0.436,0.54
APTO YOPAL AUTOMATICA [35215020],0,0,0,0,3.557,0,0.059,0.52
BERLIN AUTOMATICA [37015030],0,0,0,0,0,3.043,0.436,0.50
APTO GUAPI AUTOM  [53045040],0,0,0,0,3.252,0,0.211,0.49
SAN VICENTE DEL CAGUAN AUTOMATICA [46015030],0,0,0,0,2.996,0,0.436,0.49
APTO LOS GARZONES AUTOM [13035501],0.899,0,0,0,1.626,0,0.899,0.49
PIE DE PATO AUTOM [55015010],0,0,0,0,1.735,1.295,0.316,0.48
LA SIERRA AUTOM  [52025090],0,0,0,0,2.914,0,0.431,0.48
SAN ANTONIO SANTANDER AUTOMATICA [23195190],0,0,0,0,1.722,0,1.596,0.47
APTO PTO BOLIVAR AUTO [15075501],1.166,0,0,0,0.946,0,1.164,0.47
FLORENCIA-DESLIZAMIENTOS AUTOMATICA [44035040],0,0,0,0,2.939,0,0.331,0.47
AGUACHICA AUTOMATICA [23195240],0,0,0,0,1.009,1.293,0.95,0.46
A.E.CORTISSOZ AUTOM   [29045190],0,0,0,0,1.458,0,1.728,0.46
LA LIBERTAD AUTOMATICA [35025110],0,0,0,0,1.047,1.718,0.336,0.44
SUBIA AUTOMATICA [21195160],0,0,0,0,1.792,0,1.242,0.43
SAN JOSE DEL GUAVIARE AUTOMATICA [32105080],0,0,0,0,1.861,0,1.165,0.43
VIENTO LIBRE AUTOM  [52035040],0,0,0,0,2.504,0,0.427,0.42
CARMEN DEL DARIEN AUTOMATICA [11105020],0.235,0,0,0,1.153,1.258,0.236,0.41
MONGUI AUTOMATICA [15065190],1.534,0,0,0,0,0,1.347,0.41
A.J.M. CORDOVA   [23085270],0,0,0,0,1.385,0,1.327,0.39
LA JOSEFINA AUTOMATICA [52055170],0,0,0,0,2.268,0,0.436,0.39
PNN PURACE AUTOM  [26015030],0,0,0,0,0,1.558,1.142,0.39
ESTRECHO PATIA   [52025080],0,0,0,0,2.364,0,0.335,0.39
EL PLACER AUTOM  [26105240],0,0,0,0,1.163,0,1.475,0.38
APTO CAMILO DAZA AUTOM [16015501],0.874,0,0,0,0.874,0,0.865,0.37
SAIZA AUTOMATICA [29045150],0,0,0,0,1.025,0.977,0.594,0.37
ACDTO MOCOA AUTOM  [44015060],0,0,0,0,2.032,0,0.429,0.35
A.A.BONILLA AUTOM   [26075150],0,0,0,0,1.353,0,1.074,0.35
LA LAGUNA DEL OTUN [26135330],0,0,0,0,1.744,0,0.585,0.33
PMO CHINGAZA AUTOMATICA [35035130],0,0,0,0,0,1.9,0.367,0.32
EL DIABLO AUTOM  [22025040],0,0,0,0,0.663,0.745,0.666,0.30
SILOE AUTOM   [26085160],0,0,0,0,0.821,0,1.212,0.29
EL GUAMO AUTOM  [29015000],0,0,0,0,0,0,1.863,0.27
APTO PALONEGRO AUTOM [00000000],0,0,0,0,0.96,0,0.811,0.25
REPELON AUTOM   [29035200],0,0,0,0,0.942,0,0.798,0.25
SARAVENA [37045010],0.059,0.512,0.534,0,0,0.514,0.091,0.24
JERICO AUTOM   [26185030],0,0,0,0,0.741,0,0.821,0.22
SINCERIN [29035000],0,0,0,0,0,0,1.552,0.22
LA LAGUNA DE CAJIBIO [26035090],0,0,0,0,1.295,0,0.196,0.21
EL DIFICIL AUTOM [25025000],0,0,0,0,0,0,1.464,0.21
BALBOA AUTOMATICA [52015050],0,0,0,0,1.071,0,0.327,0.20
LOS ALAMOS AUTOM [25025002],0,0,0,0,0,0,1.353,0.19
STA RITA [16010040],0.004,0.003,1.098,0,0,0.003,0.211,0.19
STA ROSA AUTOM  [26135310],0,0,0,0,0.705,0,0.573,0.18
MEDIA LUNA AUTOM [29065000],0,0,0,0,0,0,1.241,0.18
