code,name,source,TS,HR,PR,VV,DV,NUB
804570,CASIQUE ARAMARE,NOAA,3.25,3.25,3.25,3.25,3.25,3.25
25020520,,,0,0,0.42,0,0,0
35225030,,,0,0.08,0.08,0.07,0.08,0
800360,ALFONSO LOPEZ PUMAREJO,NOAA,5.16,5.16,5.16,5.16,5.16,5.16
25027770,,,0,0,0.54,0,0,0
26155250,PMO CONEJERAS AUTOMATICA[26155250],IDEAM,0,8.31,1.07,0,0,0
21057050,VEGA EL SALADO AUTOMATICA[21057050],IDEAM,0,0,0.39,0,0,0
37057020,ALCARAVAN  AUT [37057020],IDEAM,0,0,0,0,0,0
21209920,STA ROSITA AUTOM  [21209920],IDEAM,0,0,12.85,0,0,0
21237020,ARRANCAPLUMAS    [21237020],IDEAM,0,0,5.92,0,0,0
21017040,SALADO BLANCO AUTOMATICA [21017040],IDEAM,0,0,1.16,0,0,0
35017020,PTE LLERAS AUTOMATICA [35017020],IDEAM,0,0,6.09,0,0,0
25027200,LAS VARAS AUTOM  [25027200],IDEAM,0,0,1.05,0,0,0
802225,LOS COLONIZADORES,NOAA,0.55,0.55,0.55,0.55,0.55,0.55
21087080,HDA VENECIA AUTOMATICA [21087080],IDEAM,0,0,2.56,0,0,0
25020600,,,0,0,0.68,0,0,0
52057100,,,0,0,0.62,0,0,0
21197010,EL PROFUNDO AUTOMATICA [21197010],IDEAM,0,0,7.05,0,0,0
35217090,,,0,0,0.03,0,0,0
42077020,MITU AUTOMATICA [42077020],IDEAM,0,0,6.5,0,0,0
25027020,EL BANCO AUTOMATICA[25027020],IDEAM,0,0,0.84,0,0,0
15067050,CUESTECITAS AUTOMATICA [15067050],IDEAM,0,0,0.2,0,0,0
23207040,SAN PABLO RIO MAGDALENA AUTOM [23207040],IDEAM,0,0,1.01,0,0,0
35035130,PMO CHINGAZA AUTOMATICA [35035130],IDEAM,0,4.58,0.87,0.87,6.08,0
23087210,CANTERAS AUTOM   [23087210],IDEAM,0,0,8.73,0,0,0
21160260,PTO LLERAS TOLIMA  [21160260],IDEAM,0,0,2.29,0,0,0
23157030,BARRANCABERMEJA AUTOMATICA[23157030],IDEAM,0,0,8.67,0,0,0
11047040,QUIBDO AUTOMATICA [11047040],IDEAM,0,0,47,0,0,0
29047070,SAN PEDRITO AUTOMATICA[29047070],IDEAM,0,0,1,0,0,0
23097030,PTO BERRIO AUTOMATICA [23097030],IDEAM,0,0,0.48,0,0,0
25017020,SAN PEDRO AUTOM  [25017020],IDEAM,0,0,0.98,0,0,0
35167010,,,0,0,0.65,0,0,0
15065010,APTO ALM. PADILLA [15065010],IDEAM,0,0,0,0,0,0
25020440,,,0,0,0.06,0,0,0
35160010,,,0,0,0.34,0,0,0
15067150,PTE GUAJIRO AUTOMATICA [15067150],IDEAM,0,0,0.9,0,0,0
21217180,MONTEZUMA [21217180],IDEAM,0,0,4.4,0,0,0
26187040,,,0,0,1.05,0,0,0
23017040,ESPERANZA LA [23017040],IDEAM,0,0,3.71,0,0,0
29047000,TEBSA BQUILLA AUTOMATICA [29047000],IDEAM,0,0,0.77,0,0,0
27037030,SAN JUAN NECHI AUTOM [27037030],IDEAM,0,0,0.37,0,0,0
212050,,,0,0,0,0,0,0
25020470,,,0,0,0.68,0,0,0
27037010,LA ESPERANZA NECHI  [27037010],IDEAM,0,0,0.48,0,0,0
35217060,PLAYON EL   [35217060],IDEAM,0,0,0.08,0,0,0
53119010,BUENAVENTURA IDEAM   [53119010],IDEAM,0,0,0.02,0,0,0
23197690,PALOGORDO AUTOMATICA [23197690],IDEAM,0,0,5.81,0,0,0
13067020,MONTERIA  AUTOMATICA [13067020],IDEAM,0,0,2.55,0,0,0
21167080,LA MORA AUTOM  [21167080],IDEAM,0,0,10.46,0,0,0
26057030, POTRERITO   [26057030],IDEAM,0,0,0.88,0,0,0
21202270,PLUVIOMETRO AUTOMATICO TEMPORAL [21202270],IDEAM,0,0,1.72,0,0,0
35160020,,,0,0,0.63,0,0,0
51020011,,,0,0,0.64,0,0,0
1303550,,,0,0,0,0,0,0
26177030,LA VIRGINIA AUTOM  [26177030],IDEAM,0,0,1.11,0,0,0
26137220,EL RETEN AUTOM  [26137220],IDEAM,0,0,1.07,0,0,0
