code,name,source,TS,HR,PR,VV,DV,NUB
802410,LAS GAVIOTAS,NOAA,0,0,0,0,0,0
22075050,PMO DE YERBABUENA  [22075050],IDEAM,0,6.58,7.02,6.81,6.69,0
35195060,,,0,0.09,0.09,0.07,0.1,0
23125160,SAN PABLO DE BORBUR AUTOM [23125160],IDEAM,0,8.4,8.29,5.46,7.01,0
26015030,PNN PURACE AUTOM  [26015030],IDEAM,0,4.76,1.07,3.03,2.98,0
698704,AFWA ASSIGNED,NOAA,0.02,0.02,0.02,0.02,0.02,0.02
51039010,TUMACO AUTOMATICA [51039010],IDEAM,0,0,6.2,0,0,0
21215170,LA MARTINICA AUTOMATICA [21215170],IDEAM,0,2.42,2.38,0.14,2.36,0
803720,TRES DE MAYO,NOAA,0.04,0.04,0.04,0.04,0.04,0.04
29045150,SAIZA AUTOMATICA [29045150],IDEAM,0,2.51,0,1.51,1.51,0
35075070,CHINAVITA AUTOMATICA [35075070],IDEAM,0,1.06,1.06,1.06,1.05,0
21235030,UNIV DE CUNDINAMARCA  AUTOMATICA [21235030],IDEAM,3.91,3.91,11.01,9.64,3.82,0
51025060,BIOTOPO AUTOMATICA [51025060],IDEAM,0,5.79,0.03,0.14,5.01,0
15079010,PTO BOLIVAR AUTOMATICA [15079010],IDEAM,0.15,0.15,0.84,0.02,0.02,0
35165000,,,0,0.67,0.55,0.5,0.51,0
800220,RAFAEL NUNEZ,NOAA,9.94,9.94,9.94,9.94,9.94,9.94
27015330,OLAYA HERRERA - AUTOM (27015330),IDEAM,0,3.05,1.06,2.96,2.95,0
21215190,CAJAMARCA AUTOM   [21215190],IDEAM,0,9.03,9.09,9.01,8.97,0
21185090,NATAIMA AUTOM   [21185090],IDEAM,8.35,7.33,7.93,7.62,7.64,0
24025090,MOGOTES AUTOMATICA [24025090],IDEAM,0,8.3,8.77,7.37,7.5,0
21115180,HDA MANILA AUTOMATICA [21115180],IDEAM,7.71,7.07,7.08,4.21,5.35,0
15065180,APTO ALM. PADILLA - AUTOM [15065180],IDEAM,2.47,2.47,2.09,2.47,2.99,0
801390,PUERTO CARRENO,NOAA,3.61,3.61,3.61,3.61,3.61,3.61
15085050,TOROMANA AUTOMATICA [15085050],IDEAM,7.11,7.84,7.91,4.85,0.72,0
21137050,ANGOSTURA RIO   [21137050],IDEAM,0,0,5.34,0,0,0
804653,PARAMILLO,NOAA,2.01,2.01,2.01,2.01,2.01,2.01
23125170,SAN CAYETANO AUTOM  [23125170],IDEAM,0,7.96,7.95,4.26,6.58,0
29015000,EL GUAMO AUTOM  [29015000],IDEAM,0,4.74,6.56,4.73,4.72,0
21206920,VILLA TERESA AUTOMATICA [21206920],IDEAM,10.34,9.95,9.52,6.85,6.85,0
16015120,UNIV DE PAMPLONA AUTOMATICA [16015120],IDEAM,4.25,4.23,4.24,4.14,4.13,0
26185050,STA BARBARA AUTOM  [26185050],IDEAM,0,9.74,1.03,9.28,9.26,0
13027040,,,0,0,0.91,0,0,0
802140,PERALES,NOAA,4.86,4.86,4.86,4.86,4.86,4.86
802190,GIRARDOT/SANTIAGO VILLA,NOAA,0.02,0.02,0.02,0.02,0.02,0.02
15015120,UNIV TECNOLOGICA DEL MAGDALENA AUTOMATICA [15015120],IDEAM,4.56,7.67,26.82,1.25,7.38,0
23065190,QDA NEGRA AUTOMATICA [23065190],IDEAM,0,8.94,8.95,7.67,7.71,0
26255030,STA ISABEL VALDIVIA  [26255030],IDEAM,0,10.14,1.07,5.19,5.21,0
788079,JAQUE,NOAA,0,0,0,0,0,0
57025020,GORGONA GUAPI   [57025020],IDEAM,0,8.66,0,0.11,5.05,0
