,stationcode,nombre,lat,lon,alt
0,35025090,BOSQUE INTERVENIDO   [35025090],4.664888888889,-73.846638888889,2944
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,HR,72311,110991,0.65,71058,0.98,30/06/2005 19:00:00,27/02/2018 10:00:00
9,24035430,TUNGUAVITA AUTOMATICA [24035430],5.745916666667,-73.116361111111,2470
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,HR,89527,112635,0.79,89524,1,21/04/2005 18:00:00,25/02/2018 21:00:00
,PR,17781,60546,0.29,17778,1,01/01/2017 10:00:00,25/02/2018 21:00:00
,RS,89639,112588,0.8,75145,0.84,21/04/2005 18:00:00,23/02/2018 22:00:00
,DV,349203,477341,0.73,349063,1,27/01/2009 00:10:00,23/02/2018 21:00:00
,VV,476863,675806,0.71,469762,0.99,21/04/2005 18:00:00,25/02/2018 20:20:00
10,26247050,LAS CAMELIAS AUTOM  [26247050],7.582527777778,-75.420055555556,110
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,PR,1,0,∞,1,1,15/08/2017 16:00:00,15/08/2017 16:00:00
,PR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
11,803700,SAN LUIS,0.862,-77.672,2976.4
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,HR,37478,87506,0.43,37409,1,04/05/2008 14:00:00,28/04/2018 16:00:00
,NUB,37478,87506,0.43,37079,0.99,04/05/2008 14:00:00,28/04/2018 16:00:00
,DV,37478,87506,0.43,23379,0.62,04/05/2008 14:00:00,28/04/2018 16:00:00
,VV,37478,87506,0.43,37340,1,04/05/2008 14:00:00,28/04/2018 16:00:00
,PR,37478,87506,0.43,5921,0.16,04/05/2008 14:00:00,28/04/2018 16:00:00
,TS,37478,87506,0.43,37433,1,04/05/2008 14:00:00,28/04/2018 16:00:00
12,800280,ERNESTO CORTISSOZ,10.89,-74.781,29.9
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,90186,87664,1.03,89731,0.99,01/05/2008 02:00:00,01/05/2018 18:00:00
,DV,90186,87664,1.03,81329,0.9,01/05/2008 02:00:00,01/05/2018 18:00:00
,TS,90186,87664,1.03,89310,0.99,01/05/2008 02:00:00,01/05/2018 18:00:00
,NUB,90186,87664,1.03,72466,0.8,01/05/2008 02:00:00,01/05/2018 18:00:00
,PR,90186,87664,1.03,6806,0.08,01/05/2008 02:00:00,01/05/2018 18:00:00
,HR,90186,87664,1.03,89144,0.99,01/05/2008 02:00:00,01/05/2018 18:00:00
13,802223,GUAYMARAL,4.812,-74.065,2557.3
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,NUB,151,87382,0,145,0.96,04/05/2008 14:00:00,23/04/2018 12:00:00
,TS,151,87382,0,131,0.87,04/05/2008 14:00:00,23/04/2018 12:00:00
,PR,151,87382,0,0,0,04/05/2008 14:00:00,23/04/2018 12:00:00
,HR,151,87382,0,131,0.87,04/05/2008 14:00:00,23/04/2018 12:00:00
,VV,151,87382,0,151,1,04/05/2008 14:00:00,23/04/2018 12:00:00
,DV,151,87382,0,113,0.75,04/05/2008 14:00:00,23/04/2018 12:00:00
14,821000,PARI-CACHOEIRA,-0.167,-69.967,115
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,TS,1,0,∞,0,0,05/06/2015 01:00:00,05/06/2015 01:00:00
,HR,1,0,∞,0,0,05/06/2015 01:00:00,05/06/2015 01:00:00
,VV,1,0,∞,0,0,05/06/2015 01:00:00,05/06/2015 01:00:00
,NUB,1,0,∞,1,1,05/06/2015 01:00:00,05/06/2015 01:00:00
,PR,1,0,∞,1,1,05/06/2015 01:00:00,05/06/2015 01:00:00
,DV,1,0,∞,0,0,05/06/2015 01:00:00,05/06/2015 01:00:00
15,24015110,LA BOYERA AUTOMATICA [24015110],5.303805555556,-73.85175,2610
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,DV,501933,678006,0.74,493942,0.98,04/04/2005 12:00:00,23/02/2018 21:00:00
,HR,88950,111064,0.8,88930,1,27/06/2005 19:00:00,27/02/2018 11:00:00
,VV,500994,663855,0.75,486190,0.97,14/07/2005 16:30:00,26/02/2018 19:00:00
,RS,88804,110990,0.8,78702,0.89,27/06/2005 19:00:00,24/02/2018 09:00:00
,PR,532068,666304,0.8,525983,0.99,27/06/2005 18:20:00,26/02/2018 21:00:00
16,803540,FLORENCIA/CAPITOLIO,1.6,-75.533,244
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,PR,213,68759,0,0,0,19/06/2010 13:00:00,23/04/2018 12:00:00
,DV,213,68759,0,111,0.52,19/06/2010 13:00:00,23/04/2018 12:00:00
,TS,213,68759,0,211,0.99,19/06/2010 13:00:00,23/04/2018 12:00:00
,VV,213,68759,0,209,0.98,19/06/2010 13:00:00,23/04/2018 12:00:00
,NUB,213,68759,0,194,0.91,19/06/2010 13:00:00,23/04/2018 12:00:00
,HR,213,68759,0,209,0.98,19/06/2010 13:00:00,23/04/2018 12:00:00
17,35095120,AQUITANIA AUTOMATICA [35095120],5.556638888889,-72.88175,3021
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,55603,60678,0.92,55598,1,01/01/2017 10:00:00,26/02/2018 19:00:00
,DV,55574,60258,0.92,55574,1,01/01/2017 10:00:00,23/02/2018 21:00:00
,RS,101527,112725,0.9,91548,0.9,16/04/2005 12:00:00,24/02/2018 09:00:00
,PR,56057,60684,0.92,56057,1,01/01/2017 10:00:00,26/02/2018 20:00:00
,HR,101756,112799,0.9,101751,1,16/04/2005 12:00:00,27/02/2018 11:00:00
18,21215150,NEV DEL TOLIMA AUTOMATICA [21215150],4.670777777778,-75.327777777778,4635
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,DV,354562,683809,0.52,352288,0.99,02/01/2005 04:20:00,02/01/2018 20:30:00
,VV,379679,582927,0.65,339399,0.89,03/12/2006 18:00:00,02/01/2018 20:30:00
,HR,76598,98489,0.78,63095,0.82,03/12/2006 18:00:00,27/02/2018 11:00:00
,RS,80825,98415,0.82,40547,0.5,03/12/2006 18:00:00,24/02/2018 09:00:00
19,24035360,SOCHA AUTOMATICA [24035360],5.985416666667,-72.997027777778,2503
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,HR,94857,112732,0.84,91265,0.96,19/04/2005 07:00:00,27/02/2018 11:00:00
,VV,523456,676296,0.77,517128,0.99,19/04/2005 07:00:00,26/02/2018 19:00:00
,RS,93990,112808,0.83,77721,0.83,13/04/2005 01:00:00,24/02/2018 09:00:00
,DV,520866,675870,0.77,520695,1,19/04/2005 07:00:00,23/02/2018 20:00:00
,PR,561776,676308,0.83,559816,1,19/04/2005 07:00:00,26/02/2018 21:00:00
20,29065130,LA GRAN VIA AUTOMATICA [29065130],10.85,-74.133333333333,30
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,PR,332,51876,0.01,332,1,09/01/2017 22:00:00,05/01/2018 04:00:00
,PR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,RS,69992,81931,0.85,55791,0.8,20/10/2008 14:00:00,24/02/2018 09:00:00
,HR,70530,82006,0.86,70530,1,20/10/2008 13:00:00,27/02/2018 11:00:00
,VV,413474,490659,0.84,413416,1,29/10/2008 10:30:00,26/02/2018 19:00:00
,DV,421647,691429,0.61,410885,0.97,01/01/2005 06:41:05,23/02/2018 21:00:00
21,24035410,SOGAMOSO AUTOMATICA [24035410],5.753333333333,-72.911152777778,2495
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,HR,73736,78064,0.94,73275,0.99,02/04/2009 19:00:00,27/02/2018 11:00:00
,RS,79946,85892,0.93,65279,0.82,08/05/2008 12:00:00,24/02/2018 08:00:00
,PR,467410,515758,0.91,463432,0.99,08/05/2008 05:20:00,26/02/2018 21:00:00
,DV,422493,514526,0.82,422215,1,13/05/2008 18:40:00,23/02/2018 21:00:00
