,stationcode,nombre,lat,lon,alt
0,35025090,BOSQUE INTERVENIDO   [35025090],4.664888888889,-73.846638888889,2944
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,DV,519248,666762,0.78,516922,1,21/06/2005 12:00:00,23/02/2018 19:00:00
,PR,576656,667294,0.86,576639,1,20/06/2005 18:20:00,26/02/2018 18:00:00
,HR,96266,111232,0.87,96198,1,20/06/2005 19:00:00,27/02/2018 11:00:00
,VV,287125,691869,0.41,280952,0.98,01/01/2005 02:24:00,26/02/2018 18:00:00
,TS,96721,111123,0.87,87529,0.9,21/06/2005 12:00:00,23/02/2018 15:00:00
39,26185030,JERICO AUTOM   [26185030],5.799166666667,-75.789527777778,2313
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,PR,37476,50135,0.75,37476,1,15/03/2017 17:10:00,26/02/2018 21:00:00
,DV,106463,691469,0.15,106457,1,01/01/2005 00:10:00,23/02/2018 21:00:00
,RS,22731,115256,0.2,15985,0.7,01/01/2005 00:00:00,24/02/2018 08:00:00
,HR,23343,115330,0.2,23318,1,01/01/2005 01:00:00,27/02/2018 11:00:00
,VV,106910,691890,0.15,106897,1,01/01/2005 00:00:00,26/02/2018 19:00:00
40,35095130,LAGUNA LA PLAZA AUTOMATICA [35095130],6.362,-72.282016666667,4378
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,DV,19506,56507,0.35,17158,0.88,18/01/2017 21:10:00,15/02/2018 07:00:00
,PR,19582,57089,0.34,11527,0.59,18/01/2017 21:10:00,19/02/2018 08:00:00
,VV,19642,57287,0.34,11389,0.58,18/01/2017 21:10:00,20/02/2018 17:00:00
,HR,20212,23006,0.88,20212,1,08/07/2015 01:00:00,20/02/2018 15:00:00
41,26225060,HDA COTOVE AUTOM  [26225060],6.533916666667,-75.827333333333,534
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,PR,45175,60809,0.74,45175,1,31/12/2016 14:10:00,26/02/2018 21:00:00
,HR,78456,115311,0.68,77394,0.99,01/01/2005 19:00:00,27/02/2018 10:00:00
,DV,463279,691356,0.67,463262,1,01/01/2005 19:00:00,23/02/2018 21:00:00
,VV,463409,691726,0.67,463028,1,02/01/2005 03:15:00,26/02/2018 19:00:00
,RS,78090,115255,0.68,73626,0.94,01/01/2005 03:00:00,24/02/2018 10:00:00
42,51025090,GRANJA EL MIRA - AUTOM [51025090],1.550194444444,-78.695583333333,16
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,DV,26698,9417,2.84,26698,1,18/01/2017 21:10:00,15/02/2018 07:00:00
,HR,9680,13746,0.7,9675,1,29/07/2016 01:00:00,21/02/2018 19:00:00
,PR,26592,9417,2.82,26584,1,18/01/2017 21:10:00,15/02/2018 07:00:00
,PR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,RS,9507,13590,0.7,9506,1,29/07/2016 01:00:00,15/02/2018 07:00:00
,DV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,VV,26602,9417,2.82,26602,1,18/01/2017 21:10:00,15/02/2018 07:00:00
,VV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
43,803360,TUMACO/LA FLORIDA,1.817,-78.75,3
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,TS,118,41587,0,113,0.96,04/05/2008 14:00:00,31/01/2013 09:00:00
,PR,118,41587,0,0,0,04/05/2008 14:00:00,31/01/2013 09:00:00
,NUB,118,41587,0,118,1,04/05/2008 14:00:00,31/01/2013 09:00:00
,VV,118,41587,0,118,1,04/05/2008 14:00:00,31/01/2013 09:00:00
,HR,118,41587,0,52,0.44,04/05/2008 14:00:00,31/01/2013 09:00:00
,DV,118,41587,0,100,0.85,04/05/2008 14:00:00,31/01/2013 09:00:00
44,55015010,PIE DE PATO AUTOM [55015010],5.521083333333,-76.973166666667,40
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,HR,39086,99696,0.39,39085,1,14/10/2006 11:00:00,27/02/2018 11:00:00
,VV,7124,60720,0.12,7124,1,01/01/2017 07:00:00,26/02/2018 23:00:00
,VV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,RS,39204,99621,0.39,38937,0.99,14/10/2006 11:00:00,24/02/2018 08:00:00
,DV,7029,60300,0.12,7029,1,01/01/2017 07:00:00,24/02/2018 01:00:00
,DV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
45,24035380,NEV DEL COCUY AUTOMATICA [24035380],6.509111111111,-72.314166666667,4676
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,420393,565719,0.74,420371,1,03/12/2006 18:00:00,05/09/2017 08:30:00
,HR,84523,98489,0.86,83060,0.98,03/12/2006 18:00:00,27/02/2018 11:00:00
,RS,84822,98416,0.86,68517,0.81,03/12/2006 18:00:00,24/02/2018 10:00:00
,DV,420159,565719,0.74,420009,1,03/12/2006 18:00:00,05/09/2017 08:30:00
46,28025130,LA LOMA CARBONES DEL CESAR AUTOMATICA [28025130],9.640611111111,-73.523944444444,60
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,PR,243,39972,0.01,243,1,17/02/2017 04:00:00,21/11/2017 18:00:00
,DV,382615,419594,0.91,381811,1,04/03/2010 01:40:00,23/02/2018 22:00:00
,RS,64904,69944,0.93,47929,0.74,04/03/2010 02:00:00,24/02/2018 10:00:00
,PR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,VV,388541,420008,0.93,378362,0.97,04/03/2010 01:40:00,26/02/2018 19:00:00
,HR,68782,70017,0.98,64729,0.94,04/03/2010 02:00:00,27/02/2018 11:00:00
47,53045040,APTO GUAPI AUTOM  [53045040],2.574416666667,-77.89475,42
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,29346,5780,5.08,29346,1,12/06/2017 13:40:00,08/02/2018 10:00:00
,RS,76233,108129,0.71,72144,0.95,09/10/2005 01:00:00,08/02/2018 10:00:00
,DV,4879,34680,0.14,4879,1,12/06/2017 18:00:00,08/02/2018 14:00:00
,VV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,HR,85624,149911,0.57,81088,0.95,02/01/2001 03:00:00,08/02/2018 10:00:00
,PR,1026,58038,0.02,1026,1,01/01/2017 01:00:00,08/02/2018 02:00:00
,PR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,DV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
48,804750,MAYOR BUENAVENTURA VIVAS,7.565,-72.035,330.1
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,12190,87210,0.14,11681,0.96,02/05/2008 12:00:00,14/04/2018 06:00:00
,TS,12190,87210,0.14,10174,0.83,02/05/2008 12:00:00,14/04/2018 06:00:00
,DV,12190,87210,0.14,4739,0.39,02/05/2008 12:00:00,14/04/2018 06:00:00
,PR,12190,87210,0.14,501,0.04,02/05/2008 12:00:00,14/04/2018 06:00:00
,NUB,12190,87210,0.14,11894,0.98,02/05/2008 12:00:00,14/04/2018 06:00:00
,HR,12190,87210,0.14,10017,0.82,02/05/2008 12:00:00,14/04/2018 06:00:00
49,26125061,APTO EL EDEN - AUTOM [26125061],4.454722222222,-75.766388888889,1229
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,36937,73894,0.5,36926,1,18/07/2016 13:20:00,13/12/2017 17:00:00
,DV,36226,73895,0.49,36223,1,18/07/2016 13:10:00,13/12/2017 17:00:00
,HR,5120,12317,0.42,5120,1,18/07/2016 12:00:00,13/12/2017 17:00:00
,PR,9980,51125,0.2,9980,1,23/12/2016 16:10:00,13/12/2017 17:00:00
,RS,6093,12317,0.49,6089,1,18/07/2016 12:00:00,13/12/2017 17:00:00
50,23065180,VILLETA AUTOM [23065180],5.016861111111,-74.470972222222,878
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,DV,475665,675479,0.7,474005,1,22/04/2005 00:10:00,23/02/2018 20:00:00
,RS,98739,115245,0.86,82477,0.84,01/01/2005 11:14:05,24/02/2018 09:00:00
,PR,575624,675917,0.85,560627,0.97,22/04/2005 00:10:00,26/02/2018 21:00:00
,VV,478370,675905,0.71,467794,0.98,22/04/2005 00:10:00,26/02/2018 19:00:00
,HR,102816,112666,0.91,96069,0.93,22/04/2005 01:00:00,27/02/2018 11:00:00
51,21215180,BATALLON ROOKE   [21215180],4.418388888889,-75.248666666667,1323
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,DV,478463,589568,0.81,475594,0.99,09/12/2006 12:40:00,23/02/2018 18:00:00
,VV,480821,589988,0.81,477853,0.99,09/12/2006 12:40:00,26/02/2018 16:00:00
,DV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,HR,45428,46075,0.99,43038,0.95,01/01/2013 01:00:00,04/04/2018 20:00:00
,PR,494353,589989,0.84,494258,1,09/12/2006 12:30:00,26/02/2018 16:00:00
,VV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,RS,57020,86002,0.66,57020,1,09/12/2006 13:00:00,30/09/2016 23:00:00
,RS,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,TS,45831,46075,0.99,40283,0.88,01/01/2013 01:00:00,04/04/2018 20:00:00
,HR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
52,803150,BENITO SALAS,2.95,-75.294,446.2
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,NUB,51053,87506,0.58,49002,0.96,04/05/2008 14:00:00,28/04/2018 16:00:00
,DV,51053,87506,0.58,23304,0.46,04/05/2008 14:00:00,28/04/2018 16:00:00
,HR,51053,87506,0.58,51011,1,04/05/2008 14:00:00,28/04/2018 16:00:00
,PR,51053,87506,0.58,7014,0.14,04/05/2008 14:00:00,28/04/2018 16:00:00
,TS,51053,87506,0.58,51025,1,04/05/2008 14:00:00,28/04/2018 16:00:00
,VV,51053,87506,0.58,50743,0.99,04/05/2008 14:00:00,28/04/2018 16:00:00
53,35075080,PMO RABANAL AUTOMATICA  [35075080],5.392388888889,-73.562777777778,3398
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,54514,60678,0.9,54508,1,01/01/2017 10:00:00,26/02/2018 19:00:00
,DV,467431,604530,0.77,462844,0.99,27/08/2006 18:00:00,23/02/2018 21:00:00
,HR,86851,100840,0.86,86836,1,27/08/2006 18:00:00,27/02/2018 10:00:00
,PR,54843,60690,0.9,54843,1,01/01/2017 10:00:00,26/02/2018 21:00:00
54,802520,GERARDO TOBAR LOPEZ,3.82,-76.99,14.6
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,PR,136,78788,0,0,0,27/04/2009 16:00:00,23/04/2018 12:00:00
,TS,136,78788,0,132,0.97,27/04/2009 16:00:00,23/04/2018 12:00:00
,DV,136,78788,0,42,0.31,27/04/2009 16:00:00,23/04/2018 12:00:00
,NUB,136,78788,0,130,0.96,27/04/2009 16:00:00,23/04/2018 12:00:00
,VV,136,78788,0,130,0.96,27/04/2009 16:00:00,23/04/2018 12:00:00
,HR,136,78788,0,126,0.93,27/04/2009 16:00:00,23/04/2018 12:00:00
55,13035501,APTO LOS GARZONES AUTOM [13035501],8.825833333333,-75.825138888889,20
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,HR,23400,24095,0.97,23400,1,30/05/2015 13:00:00,27/02/2018 12:00:00
,TS,23331,24004,0.97,23326,1,30/05/2015 11:00:00,23/02/2018 15:00:00
,RS,23229,24021,0.97,23222,1,30/05/2015 13:00:00,24/02/2018 10:00:00
,DV,120378,144021,0.84,120359,1,30/05/2015 17:30:00,23/02/2018 21:00:00
,PR,127660,144459,0.88,127660,1,30/05/2015 17:30:00,26/02/2018 22:00:00
,VV,120949,144446,0.84,120825,1,30/05/2015 17:40:00,26/02/2018 20:00:00
56,17015010,APTO SESQUICENTEN   [17015010],12.542183333333,-81.730969444444,1
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,180942,33420,5.41,110678,0.61,27/06/2014 00:10:00,19/04/2018 13:00:00
,HR,30061,33420,0.9,28241,0.94,27/06/2014 01:00:00,19/04/2018 13:00:00
,DV,180112,33420,5.39,160046,0.89,27/06/2014 00:10:00,19/04/2018 13:00:00
,VV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,TS,30061,33420,0.9,28241,0.94,27/06/2014 01:00:00,19/04/2018 13:00:00
,DV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
57,23217080,GAMARRA AUTOMATICA [23217080],8.284286111111,-73.753388888889,40
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,PR,244534,300368,0.81,244437,1,12/06/2012 00:10:00,26/02/2018 21:30:00
58,52055220,EL PARAISO AUTOM  [52055220],1.070611111111,-77.636888888889,3120
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,55537,60785,0.91,55537,1,31/12/2016 15:10:00,26/02/2018 18:00:00
,PR,56236,60803,0.92,56236,1,31/12/2016 14:10:00,26/02/2018 20:00:00
,DV,54247,60365,0.9,54247,1,31/12/2016 15:10:00,23/02/2018 20:00:00
,HR,91184,107489,0.85,85614,0.94,23/11/2005 18:00:00,27/02/2018 11:00:00
,RS,86212,107415,0.8,73517,0.85,23/11/2005 18:00:00,24/02/2018 09:00:00
59,32067030,PTO ANGOSTURAS AUTOM [32067030],3.792666666667,-73.922472222222,745
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,PR,56416,60803,0.93,56416,1,31/12/2016 14:10:00,26/02/2018 20:00:00
60,800440,COROZAL/LAS BRUJAS,9.333,-75.283,81
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,DV,100,33816,0,64,0.64,04/05/2008 14:00:00,13/03/2012 14:00:00
,NUB,100,33816,0,91,0.91,04/05/2008 14:00:00,13/03/2012 14:00:00
,PR,100,33816,0,0,0,04/05/2008 14:00:00,13/03/2012 14:00:00
,HR,100,33816,0,94,0.94,04/05/2008 14:00:00,13/03/2012 14:00:00
,TS,100,33816,0,95,0.95,04/05/2008 14:00:00,13/03/2012 14:00:00
,VV,100,33816,0,100,1,04/05/2008 14:00:00,13/03/2012 14:00:00
61,803220,JORGE E GONZALEZ TORRES,2.58,-72.639,184.4
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,HR,149,87382,0,70,0.47,04/05/2008 14:00:00,23/04/2018 12:00:00
,TS,149,87382,0,110,0.74,04/05/2008 14:00:00,23/04/2018 12:00:00
,NUB,149,87382,0,145,0.97,04/05/2008 14:00:00,23/04/2018 12:00:00
,DV,149,87382,0,62,0.42,04/05/2008 14:00:00,23/04/2018 12:00:00
,VV,149,87382,0,148,0.99,04/05/2008 14:00:00,23/04/2018 12:00:00
,PR,149,87382,0,0,0,04/05/2008 14:00:00,23/04/2018 12:00:00
62,23195240,AGUACHICA AUTOMATICA [23195240],8.123416666667,-73.579861111111,103
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,DV,125807,642932,0.2,125801,1,08/08/2005 14:00:00,29/10/2017 09:20:00
,HR,29395,110061,0.27,29270,1,08/08/2005 14:00:00,27/02/2018 11:00:00
,RS,28396,109987,0.26,22602,0.8,08/08/2005 15:00:00,24/02/2018 10:00:00
,VV,125501,642932,0.2,125485,1,08/08/2005 14:00:00,29/10/2017 09:20:00
,PR,173649,660284,0.26,173641,1,08/08/2005 13:50:00,26/02/2018 21:10:00
63,28035060,FEDEARROZ AUTOMATICA [28035060],10.463611111111,-73.248055555556,184
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,58719,660582,0.09,58719,1,06/08/2005 14:00:00,26/02/2018 23:00:00
,VV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,DV,272278,277607,0.98,260866,0.96,01/01/2013 00:10:00,12/04/2018 20:00:00
,TS,45428,46267,0.98,44270,0.97,01/01/2013 01:00:00,12/04/2018 20:00:00
,RS,90619,100758,0.9,90619,1,01/09/2005 17:00:00,28/02/2017 23:00:00
,HR,103242,110114,0.94,103144,1,06/08/2005 10:00:00,27/02/2018 12:00:00
,PR,123725,60761,2.04,123725,1,31/12/2016 23:01:00,26/02/2018 22:00:00
,VV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,DV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,HR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,RS,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
64,21205791,APTO EL DORADO AUTOMATICA [21205791],4.705583333333,-74.150666666667,2547
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,179280,180143,1,104768,0.58,29/08/2014 00:10:00,31/01/2018 00:00:00
,HR,29847,30673,0.97,29847,1,29/08/2014 10:00:00,27/02/2018 11:00:00
,PR,179136,179999,1,177779,0.99,29/08/2014 00:10:00,30/01/2018 00:00:00
,RS,29856,29999,1,29636,0.99,29/08/2014 01:00:00,30/01/2018 00:00:00
,HR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,VV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,DV,178463,183527,0.97,178463,1,29/08/2014 09:10:00,23/02/2018 21:00:00
,TS,29769,30581,0.97,29769,1,29/08/2014 10:00:00,23/02/2018 15:00:00
,PR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,RS,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,DV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,TS,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
65,802410,LAS GAVIOTAS,4.55,-70.917,171
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,DV,4,16224,0,3,0.75,10/03/2010 13:00:00,15/01/2012 13:00:00
,HR,4,16224,0,4,1,10/03/2010 13:00:00,15/01/2012 13:00:00
,TS,4,16224,0,4,1,10/03/2010 13:00:00,15/01/2012 13:00:00
,VV,4,16224,0,4,1,10/03/2010 13:00:00,15/01/2012 13:00:00
,NUB,4,16224,0,4,1,10/03/2010 13:00:00,15/01/2012 13:00:00
,PR,4,16224,0,0,0,10/03/2010 13:00:00,15/01/2012 13:00:00
66,22075050,PMO DE YERBABUENA  [22075050],4.075805555556,-75.700833333333,3394
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,DV,351450,450739,0.78,350827,1,11/06/2009 09:50:00,05/01/2018 13:00:00
,VV,357908,450739,0.79,350869,0.98,11/06/2009 09:50:00,05/01/2018 13:00:00
,PR,369172,450740,0.82,369159,1,11/06/2009 09:40:00,05/01/2018 13:00:00
,HR,57655,71371,0.81,57653,1,11/06/2009 10:00:00,02/08/2017 05:00:00
67,35195060,,0,0,0
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,HR,832,2761,0.3,832,1,19/08/2017 11:00:07,12/12/2017 12:00:07
,VV,3685,16571,0.22,3684,1,19/08/2017 10:10:07,12/12/2017 12:00:07
,PR,4812,16601,0.29,4809,1,19/08/2017 05:10:07,12/12/2017 12:00:07
,DV,5058,16571,0.31,5058,1,19/08/2017 10:10:07,12/12/2017 12:00:07
68,23125160,SAN PABLO DE BORBUR AUTOM [23125160],5.647027777778,-74.071305555556,742
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,RS,56465,85459,0.66,48912,0.87,26/05/2008 14:00:00,24/02/2018 09:00:00
,VV,286927,513108,0.56,284109,0.99,26/05/2008 13:00:00,26/02/2018 19:00:00
,HR,73601,112728,0.65,73311,1,19/04/2005 11:00:00,27/02/2018 11:00:00
,PR,435848,676287,0.64,435675,1,19/04/2005 10:30:00,26/02/2018 21:00:00
,DV,368658,675854,0.55,368585,1,19/04/2005 10:40:00,23/02/2018 21:00:00
69,26015030,PNN PURACE AUTOM  [26015030],2.356848888889,-76.403543888889,368
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,159178,487302,0.33,152695,0.96,21/11/2008 17:00:00,26/02/2018 18:00:00
,HR,41667,81234,0.51,41580,1,21/11/2008 17:00:00,27/02/2018 11:00:00
,PR,55982,60911,0.92,55881,1,30/12/2016 20:10:00,26/02/2018 20:00:00
,DV,156883,486882,0.32,156741,1,21/11/2008 17:00:00,23/02/2018 20:00:00
70,698704,AFWA ASSIGNED,4.217,-74.633,895
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,TS,206,434,0.47,204,0.99,28/06/2008 03:00:00,16/07/2008 05:00:00
,DV,206,434,0.47,205,1,28/06/2008 03:00:00,16/07/2008 05:00:00
,PR,206,434,0.47,0,0,28/06/2008 03:00:00,16/07/2008 05:00:00
,HR,206,434,0.47,20,0.1,28/06/2008 03:00:00,16/07/2008 05:00:00
,VV,206,434,0.47,205,1,28/06/2008 03:00:00,16/07/2008 05:00:00
,NUB,206,434,0.47,0,0,28/06/2008 03:00:00,16/07/2008 05:00:00
71,51039010,TUMACO AUTOMATICA [51039010],1.819305555556,-78.730277777778,0
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,PR,54305,10116,5.37,54305,1,01/01/2017 07:50:00,26/02/2018 20:00:00
,PR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
72,21215170,LA MARTINICA AUTOMATICA [21215170],4.402,-75.229055555556,1780
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,RS,21614,39641,0.55,19764,0.91,27/10/2005 15:00:00,06/05/2010 08:00:00
,VV,7368,16283,0.45,7365,1,27/10/2005 13:40:00,17/02/2006 15:37:01
,HR,21198,38276,0.55,21198,1,27/10/2005 14:00:00,10/03/2010 10:00:00
,PR,125237,237857,0.53,125234,1,27/10/2005 13:40:00,06/05/2010 08:30:00
,DV,124255,229659,0.54,123574,0.99,27/10/2005 13:40:00,10/03/2010 10:10:00
73,803720,TRES DE MAYO,0.505,-76.501,248.4
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,320,86736,0,312,0.98,04/05/2008 14:00:00,27/03/2018 14:00:00
,PR,320,86736,0,0,0,04/05/2008 14:00:00,27/03/2018 14:00:00
,NUB,320,86736,0,271,0.85,04/05/2008 14:00:00,27/03/2018 14:00:00
,HR,320,86736,0,308,0.96,04/05/2008 14:00:00,27/03/2018 14:00:00
,DV,320,86736,0,112,0.35,04/05/2008 14:00:00,27/03/2018 14:00:00
,TS,320,86736,0,311,0.97,04/05/2008 14:00:00,27/03/2018 14:00:00
74,29045150,SAIZA AUTOMATICA [29045150],7.746027777778,-76.4325,287
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,HR,21973,41310,0.53,21939,1,16/05/2005 09:00:00,31/01/2010 15:00:00
,RS,22700,41310,0.55,20943,0.92,16/05/2005 09:00:00,31/01/2010 15:00:00
,VV,79313,165953,0.48,79296,1,16/05/2005 08:20:00,11/07/2008 19:10:00
,DV,79315,238619,0.33,79286,1,16/05/2005 08:20:00,28/11/2009 10:10:00
75,35075070,CHINAVITA AUTOMATICA [35075070],5.21925,-73.350388888889,2012
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,DV,55061,60258,0.91,55060,1,01/01/2017 10:00:00,23/02/2018 21:00:00
,HR,9269,10129,0.92,9269,1,01/01/2017 10:00:00,27/02/2018 11:00:00
,VV,55684,60678,0.92,55677,1,01/01/2017 10:00:00,26/02/2018 19:00:00
,PR,55785,60690,0.92,55785,1,01/01/2017 10:00:00,26/02/2018 21:00:00
,RS,9184,10055,0.91,8957,0.98,01/01/2017 10:00:00,24/02/2018 09:00:00
76,21235030,UNIV DE CUNDINAMARCA  AUTOMATICA [21235030],4.305333333333,-74.808111111111,309
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,RS,85097,112896,0.75,72649,0.85,09/04/2005 09:00:00,24/02/2018 09:00:00
,DV,200526,278573,0.72,181616,0.91,01/01/2013 00:10:00,19/04/2018 13:00:00
,VV,506900,677952,0.75,506049,1,07/04/2005 18:00:00,26/02/2018 18:00:00
,HR,34281,46424,0.74,32234,0.94,01/01/2013 01:00:00,19/04/2018 09:00:00
,VV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,PR,578762,685421,0.84,578699,1,15/02/2005 00:10:00,26/02/2018 21:00:00
,HR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,TS,34285,46428,0.74,32350,0.94,01/01/2013 01:00:00,19/04/2018 13:00:00
,DV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
77,51025060,BIOTOPO AUTOMATICA [51025060],1.408638888889,-78.281611111111,512
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,PR,1407,48558,0.03,1407,1,31/01/2017 23:00:00,04/01/2018 04:00:00
,VV,7284,48678,0.15,7284,1,31/01/2017 19:00:00,04/01/2018 20:00:00
,DV,43851,8114,5.4,43851,1,31/01/2017 14:10:00,04/01/2018 16:50:00
,PR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,RS,49249,106143,0.46,31816,0.65,26/11/2005 01:00:00,04/01/2018 16:00:00
,DV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,HR,50746,106143,0.48,47765,0.94,26/11/2005 01:00:00,04/01/2018 16:00:00
,VV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
78,15079010,PTO BOLIVAR AUTOMATICA [15079010],12.224277777778,-71.967666666667,0
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,TS,1279,1514,0.84,1279,1,10/10/2017 11:00:00,12/12/2017 13:00:00
,HR,1279,1514,0.84,1279,1,10/10/2017 11:00:00,12/12/2017 13:00:00
,VV,1295,9084,0.14,1295,1,10/10/2017 15:00:00,12/12/2017 17:00:00
,PR,7375,1514,4.87,7375,1,10/10/2017 10:10:00,12/12/2017 13:00:00
,RS,1279,1514,0.84,1279,1,10/10/2017 11:00:00,12/12/2017 13:00:00
,DV,1295,9084,0.14,1295,1,10/10/2017 15:00:00,12/12/2017 17:00:00
,DV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,PR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,VV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
79,35165000,,0,0,0
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
